Frequency (Hz)	Level (dB)
771.157837	-116.342163
771.830750	-119.412827
772.503662	-119.738846
773.176575	-117.455147
773.849487	-115.307625
774.522400	-120.792114
775.195313	-120.566719
775.868225	-118.844360
776.541138	-113.795799
777.214050	-110.615723
777.886963	-112.175117
778.559875	-110.420403
779.232788	-111.398438
779.905701	-120.856171
780.578613	-116.648865
781.251526	-116.218628
781.924438	-114.026817
782.597351	-114.423058
783.270264	-114.995438
783.943176	-116.191399
784.616089	-119.161072
785.289001	-116.602226
785.961914	-117.174980
786.634827	-120.638222
787.307739	-116.986366
787.980652	-112.999161
788.653564	-113.725197
789.326477	-111.432838
789.999390	-111.877502
790.672302	-116.344185
791.345215	-118.218033
792.018127	-117.041832
792.691040	-119.255608
793.363953	-111.748955
794.036865	-111.798462
794.709778	-117.128090
795.382690	-116.924156
796.055603	-114.678322
796.728516	-116.362488
797.401428	-113.383812
798.074341	-116.232834
798.747253	-117.295433
799.420166	-114.541199
800.093079	-118.100677
800.765991	-117.714989
801.438904	-115.717911
802.111816	-115.461311
802.784729	-119.632584
803.457642	-116.370285
804.130554	-113.500053
804.803467	-115.787903
805.476379	-117.024048
806.149292	-121.355171
806.822205	-117.299805
807.495117	-121.199364
808.168030	-115.941231
808.840942	-112.713043
809.513855	-111.922173
810.186768	-113.734215
810.859680	-122.344193
811.532593	-123.462273
812.205505	-114.707039
812.878418	-114.996971
813.551331	-117.537910
814.224243	-114.399490
814.897156	-110.138588
815.570068	-111.515266
816.242981	-114.998138
816.915894	-118.187637
817.588806	-116.370445
818.261719	-116.583763
818.934631	-124.837830
819.607544	-114.065094
820.280457	-113.394402
820.953369	-118.717903
821.626282	-118.741776
822.299194	-119.117409
822.972107	-122.306702
823.645020	-120.311859
824.317932	-121.843857
824.990845	-115.004677
825.663757	-110.621788
826.336670	-110.704262
827.009583	-114.733467
827.682495	-114.906525
828.355408	-114.982201
829.028320	-120.625862
829.701233	-116.808899
830.374146	-117.190590
831.047058	-114.543655
831.719971	-116.223770
832.392883	-121.123817
833.065796	-120.970627
833.738708	-115.372307
834.411621	-114.971344
835.084534	-116.542030
835.757446	-119.537514
836.430359	-117.688637
837.103271	-116.786858
837.776184	-115.011772
838.449097	-116.355698
839.122009	-116.382492
839.794922	-116.907547
840.467834	-117.032852
841.140747	-118.917488
841.813660	-115.888489
842.486572	-117.210136
843.159485	-115.708626
843.832397	-112.912796
844.505310	-118.549637
845.178223	-116.906151
845.851135	-118.704742
846.524048	-118.347321
847.196960	-113.326057
847.869873	-110.805504
848.542786	-114.049614
849.215698	-118.983116
849.888611	-115.003441
850.561523	-114.254517
851.234436	-115.912392
851.907349	-114.694023
